county,State,total_claims,opioid_claims,extended_release_opioid_claims,year,Annual Average Pay,dispensaries_cnt,unemployment,opioid_related,Population,deaths
Northampton County,PA,2664079,162011,3901,2014,44128,1,5.9,TRUE,300654,13
Philadelphia County,PA,13067834,842186,23650,2014,60158,1,,TRUE,1560297,25
Washington County,PA,2141514,116349,2353,2014,52711,,5.7,TRUE,208187,26
Providence County,RI,6493538,322693,6966,2014,51807,1,8.2,TRUE,631974,85
Washington County,RI,859766,43295,636,2014,42779,,7.1,TRUE,126653,14
Charleston County,SC,2467921,218990,7477,2014,44301,,5.1,TRUE,381015,23
Davidson County,TN,5551431,517395,22061,2014,52506,,5,TRUE,668347,96
Bexar County,TX,10010109,785766,20387,2014,45676,,4.7,TRUE,1855866,65
Collin County,TX,3130221,231485,7232,2014,59795,,4.6,TRUE,885241,27
Dallas County,TX,12458556,976704,22668,2014,62102,,5.4,TRUE,2518638,141
Denton County,TX,2408450,157679,4301,2014,46164,,4.4,TRUE,753363,10
El Paso County,TX,4186134,248665,3250,2014,35779,,6.4,TRUE,833487,19
Harris County,TX,21804177,1447077,34446,2014,68102,,5,TRUE,4441370,209
Tarrant County,TX,10719951,835705,22891,2014,50915,,5,TRUE,1945360,83
Travis County,TX,4443697,383089,14721,2014,57328,,4.1,TRUE,1151145,13
Weber County,UT,984356,104716,5478,2014,37886,,4.4,TRUE,240475,52
Fairfax County,VA,2593001,160195,7184,2014,78839,,4.2,TRUE,1137538,55
Prince William County,VA,509262,38629,1773,2014,44019,,4.9,TRUE,446094,26
Portsmouth city,VA,513070,65554,3833,2014,,,7.3,TRUE,96004,10
Clark County,WA,2399878,197129,10150,2014,46351,1,7,TRUE,451008,32
King County,WA,10162872,765849,43119,2014,70608,3,4.7,TRUE,2079967,205
Snohomish County,WA,3330741,277372,15416,2014,55428,,5.2,TRUE,759583,93
Yakima County,WA,1472194,127051,4954,2014,34655,,8.7,TRUE,247687,10
Dane County,WI,3037030,221219,12700,2014,49931,,3.7,TRUE,516284,59
Kenosha County,WI,929789,61903,1923,2014,39826,,6.1,TRUE,168068,34
Racine County,WI,1257221,73772,1132,2014,45172,,6.6,TRUE,195163,37
Rock County,WI,1204698,87157,2569,2014,40904,,6.1,TRUE,161188,22
Winnebago County,WI,1424003,89674,2553,2014,47312,,5.2,TRUE,169511,12
Cochise County,AZ,751731,58113,3061,2014,41882,,8.4,TRUE,127448,10
Mohave County,AZ,1804490,178662,11659,2014,35150,1,8.7,TRUE,203361,26
Pinal County,AZ,1235322,79463,2606,2014,38752,2,7,TRUE,401918,17
Benton County,AR,1561178,121964,3363,2014,53517,,4.6,TRUE,242321,18
Garland County,AR,1528613,124837,2825,2014,33004,,6.4,TRUE,97322,10
Pulaski County,AR,4534028,446001,17467,2014,45778,,5.6,TRUE,392702,22
Alameda County,CA,7527527,542631,26209,2014,65733,11,5.8,TRUE,1610921,30
Fresno County,CA,5556507,425211,16004,2014,39325,6,11.6,TRUE,965974,54
Humboldt County,CA,1051375,106931,7241,2014,36257,,6.7,TRUE,134809,16
Lake County,CA,488002,55822,3373,2014,33935,,8.9,TRUE,64184,12
San Joaquin County,CA,4348799,330946,11703,2014,41597,2,10.5,TRUE,715597,42
San Mateo County,CA,3157217,175576,6366,2014,101480,6,4.2,TRUE,758581,13
Santa Barbara County,CA,2658047,186421,6488,2014,47809,3,6.1,TRUE,440668,11
Santa Cruz County,CA,1444164,108497,5029,2014,44653,1,8.8,TRUE,271804,11
Shasta County,CA,1762552,185629,9110,2014,38599,3,9.6,TRUE,179804,17
Solano County,CA,1892941,169620,9402,2014,51795,4,7.5,TRUE,431131,11
Sonoma County,CA,2745695,240495,13972,2014,46428,2,5.6,TRUE,500292,14
Stanislaus County,CA,4238814,375100,16040,2014,41634,2,11.2,TRUE,531997,10
Larimer County,CO,1642768,160484,7977,2014,45651,,4.3,TRUE,324122,15
Bay County,FL,1532728,155752,3596,2014,36828,,6.3,TRUE,178985,14
Brevard County,FL,4447918,399796,20760,2014,44484,1,7,TRUE,556885,17
Escambia County,FL,2525408,273334,11233,2014,39354,,6.4,TRUE,310659,13
Polk County,FL,5268895,360478,9260,2014,38504,,7.2,TRUE,634638,11
St. Johns County,FL,1229173,80151,1614,2014,38802,,4.7,TRUE,217919,11
Sarasota County,FL,3873671,279155,10240,2014,41603,1,5.8,TRUE,396962,19
Volusia County,FL,4857788,375790,14872,2014,36038,,6.8,TRUE,507531,36
Carroll County,GA,1124813,89277,2739,2014,38360,,8.2,TRUE,114093,14
Clayton County,GA,1063196,87647,2451,2014,48430,,9.3,TRUE,267542,10
Forsyth County,GA,719864,53435,1672,2014,46893,,5.3,TRUE,204302,12
Paulding County,GA,361923,35392,1759,2014,32418,,6.2,TRUE,148987,20
Richmond County,GA,2609482,182712,3322,2014,41949,,8.7,TRUE,201368,14
Ada County,ID,2586320,271764,14156,2014,44905,,4.2,TRUE,426236,26
Delaware County,IN,1277821,112124,3552,2014,36421,,7,TRUE,117074,13
Madison County,IN,1364634,116183,2578,2014,34799,,7.1,TRUE,130069,11
Linn County,IA,1590625,99727,1850,2014,49211,,4.4,TRUE,217751,10
Polk County,IA,3963558,311448,12089,2014,51339,,4.3,TRUE,459862,15
Floyd County,KY,856154,76564,392,2014,36977,,10.3,TRUE,38108,12
McCracken County,KY,1350380,140741,3919,2014,40602,,7,TRUE,65316,11
Pike County,KY,1304273,94157,881,2014,40752,,10.5,TRUE,63034,12
Cumberland County,ME,2358414,176134,6255,2014,45976,3,4.3,TRUE,287797,16
Kennebec County,ME,985841,85715,5770,2014,38656,2,5.3,TRUE,121112,10
Allegan County,MI,377274,29789,1215,2014,42331,,5.5,TRUE,113847,12
Calhoun County,MI,1152026,101248,2569,2014,47417,,6.4,TRUE,134878,13
Kalamazoo County,MI,2150372,213531,10214,2014,46568,,5.7,TRUE,258818,17
Douglas County,NE,3526831,248108,7746,2014,46792,,3.6,TRUE,543244,14
Washoe County,NV,2532441,267004,12873,2014,45016,2,7.6,TRUE,440078,32
Strafford County,NH,796704,96567,6940,2014,47625,,4,TRUE,125604,14
Burlington County,NJ,2506462,193390,8903,2014,52518,1,6.4,TRUE,449722,15
Dona Ana County,NM,,,,2014,35309,,7.3,TRUE,213676,17
Sandoval County,NM,413830,37464,1929,2014,41910,,7.2,TRUE,137608,13
Oswego County,NY,680750,29920,676,2014,40866,,8,TRUE,120913,10
Sullivan County,NY,344263,23564,846,2014,38152,,6.5,TRUE,75943,10
Brunswick County,NC,965696,71078,2928,2014,35726,,7.9,TRUE,118836,13
Pitt County,NC,2093286,166817,7509,2014,40503,,6.4,TRUE,175354,11
Robeson County,NC,1352956,114846,4767,2014,30877,,9.5,TRUE,134760,12
Rowan County,NC,1112345,88802,4446,2014,39753,,7.1,TRUE,138630,11
Surry County,NC,1269278,88235,2205,2014,32214,,6.2,TRUE,72968,12
Wilkes County,NC,686573,34112,277,2014,32774,,6.6,TRUE,68838,23
Wood County,OH,849370,45028,928,2014,42362,,5.2,TRUE,129590,10
Cleveland County,OK,1012008,96983,3082,2014,37451,,3.7,TRUE,269908,19
Comanche County,OK,571388,58151,2452,2014,36280,,4.7,TRUE,125033,20
Creek County,OK,464313,37797,1003,2014,39637,,5,TRUE,70632,13
Muskogee County,OK,644173,53028,1550,2014,37837,,5.7,TRUE,69966,14
Oklahoma County,OK,6354702,636349,28247,2014,49290,,4.2,TRUE,766215,66
Wagoner County,OK,217797,17678,251,2014,36423,,4.3,TRUE,75702,11
Jackson County,OR,1926564,195141,12682,2014,38013,2,8.4,TRUE,210287,10
Linn County,OR,861981,65188,2013,2014,38331,1,8.1,TRUE,119356,10
Beaver County,PA,1521762,82755,2178,2014,40993,,6.5,TRUE,169392,10
Dauphin County,PA,2407109,157458,5852,2014,50544,,5.3,TRUE,271453,14
Fayette County,PA,1345437,73441,2133,2014,35131,,7.8,TRUE,134086,17
Franklin County,PA,1199241,68470,2613,2014,39407,,5.4,TRUE,152892,15
Lackawanna County,PA,3156423,183380,5449,2014,38478,,6.6,TRUE,212719,14
Lancaster County,PA,4433133,244138,8070,2014,41912,1,4.6,TRUE,533320,21
Lawrence County,PA,1012696,63622,2144,2014,38071,1,6.2,TRUE,88771,12
Monroe County,PA,902269,58161,2079,2014,39584,,7.5,TRUE,166314,19
Schuylkill County,PA,1675015,79847,1360,2014,37479,,7.1,TRUE,145797,10
Kent County,RI,1518555,80925,1928,2014,44039,,7.2,TRUE,165128,10
Aiken County,SC,1173625,78122,3494,2014,46220,,6.5,TRUE,164753,16
Anderson County,SC,1806891,145618,3647,2014,36187,,5.9,TRUE,192810,19
Berkeley County,SC,501377,24155,306,2014,45243,,6,TRUE,198205,13
Horry County,SC,2799586,221968,7495,2014,30034,,7.4,TRUE,298832,40
Lexington County,SC,1638368,117648,5475,2014,38229,,5.1,TRUE,277888,25
Oconee County,SC,764944,70318,1152,2014,44722,,6.3,TRUE,75192,13
Pickens County,SC,949687,77524,2553,2014,37734,,6.3,TRUE,120368,20
Richland County,SC,2772827,178236,6536,2014,43480,,6,TRUE,401566,21
Spartanburg County,SC,3106500,293202,6868,2014,43021,,6.3,TRUE,293542,19
York County,SC,1276158,85090,2839,2014,40358,,6.3,TRUE,245346,13
Blount County,TN,1083119,86560,4756,2014,42728,,5.9,TRUE,126339,10
Bradley County,TN,1003765,101640,4216,2014,37616,,6,TRUE,102975,15
Cheatham County,TN,294301,15970,298,2014,38900,,5.4,TRUE,39764,12
Hamblen County,TN,1134621,102102,3614,2014,36918,,7.3,TRUE,63036,16
Hamilton County,TN,4537976,461225,23599,2014,45694,,6.1,TRUE,351220,23
Knox County,TN,5738157,586472,40110,2014,44216,,5.4,TRUE,448644,61
Montgomery County,TN,739522,89376,7418,2014,34441,,6.6,TRUE,189961,20
Putnam County,TN,1078931,97944,5096,2014,35908,,6.8,TRUE,74165,12
Rutherford County,TN,1606731,119249,5870,2014,44363,,5.2,TRUE,288906,16
Sullivan County,TN,3126691,282195,10243,2014,44816,,6.6,TRUE,157047,18
Washington County,TN,2555404,229232,12116,2014,37509,,6.3,TRUE,126242,10
Williamson County,TN,938502,118721,8684,2014,58840,,4.5,TRUE,205226,10
Wilson County,TN,867213,95712,5770,2014,39558,,5.2,TRUE,125376,13
Fort Bend County,TX,1753017,96303,2001,2014,51766,,4.5,TRUE,685345,13
Davis County,UT,1092808,82181,2698,2014,40106,,3.6,TRUE,329692,31
Tooele County,UT,156358,12702,550,2014,43102,,4.8,TRUE,61598,12
Washington County,UT,930710,107141,6109,2014,31599,,4.4,TRUE,151948,13
Frederick County,VA,35889,1856,52,2014,40166,,4.7,TRUE,82377,11
Loudoun County,VA,562911,36530,1813,2014,60326,,4.3,TRUE,363050,15
Tazewell County,VA,852048,50676,344,2014,32463,,8.2,TRUE,43452,10
Benton County,WA,1135733,120098,7462,2014,49810,3,7.5,TRUE,186486,14
Thurston County,WA,1460606,132943,7088,2014,44926,,6.5,TRUE,265851,12
Fayette County,WV,502733,43177,520,2014,35522,,8.4,TRUE,45132,16
Logan County,WV,592579,38872,124,2014,41564,,10.6,TRUE,35348,18
Mingo County,WV,140333,8283,34,2014,46201,,12,TRUE,25716,21
Wyoming County,WV,309471,26526,52,2014,44757,,9.5,TRUE,22598,18
Champaign County,IL,1179129,81024,2206,2015,45013,1,5.1,TRUE,208861,28
Cook County,IL,30147006,1544375,26230,2015,61915,6,6.2,TRUE,5238216,620
Denver County,CO,2940173,264051,9687,2015,65169,4,,TRUE,682545,73
Forsyth County,GA,719864,53435,1672,2015,48681,,4.5,TRUE,212438,23
Wood County,WV,1129018,91749,2185,2015,38558,,6.3,TRUE,86452,10
Middlesex County,CT,936600,56271,1335,2015,52782,1,4.9,TRUE,164063,23
Hillsborough County,FL,9793859,721996,36573,2015,49951,1,5,TRUE,1349050,95
New Haven County,CT,6016421,384978,13048,2015,54530,,6.2,TRUE,859470,141
Porter County,IN,1035523,77369,3309,2015,42035,,5.4,TRUE,167688,13
New London County,CT,1627021,107314,2680,2015,51897,,5.9,TRUE,271863,62
Bronx County,NY,8996434,253117,5318,2015,48936,1,7.8,TRUE,1455444,170
Tolland County,CT,543801,34037,1241,2015,46104,,4.9,TRUE,151420,11
Windham County,CT,760508,41925,1368,2015,42165,,6.3,TRUE,116573,17
New Castle County,DE,3074974,260307,13776,2015,60564,3,4.7,TRUE,556779,87
St. Joseph County,IN,2270858,197187,9422,2015,41787,,5,TRUE,268441,22
Sussex County,DE,1726000,128725,6428,2015,37679,,4.9,TRUE,215622,21
Suffolk County,NY,7640390,358279,9691,2015,56185,,4.7,TRUE,1501587,223
District of Columbia,DC,2447977,149697,2945,2015,,1,6.9,TRUE,672228,88
Guilford County,NC,4985883,373031,12369,2015,45750,,5.9,TRUE,517600,60
Broward County,FL,12970777,718003,26803,2015,48766,3,5.1,TRUE,1896425,99
Collier County,FL,2360241,166600,8827,2015,45020,1,5.2,TRUE,357305,31
Duval County,FL,6488303,648947,30584,2015,49678,1,5.8,TRUE,913010,122
Escambia County,FL,2525408,273334,11233,2015,40954,,5.5,TRUE,311003,41
Wayne County,IN,858232,72845,1571,2015,35968,,5.3,TRUE,67001,11
Polk County,IA,3963558,311448,12089,2015,53214,,3.7,TRUE,467711,31
Lee County,FL,5100623,378932,19042,2015,40933,2,5.1,TRUE,701982,101
Scott County,IA,1262989,93629,2783,2015,42607,,4.8,TRUE,172126,14
Hamilton County,OH,8303714,608375,17154,2015,56496,1,4.5,TRUE,807598,296
El Paso County,CO,2493468,238179,11862,2015,46595,2,4.6,TRUE,674471,121
Fairfield County,CT,5082046,288229,9717,2015,85400,3,5.4,TRUE,948053,89
Mercer County,WV,925826,66219,452,2015,34561,,7.3,TRUE,61164,38
Jefferson County,CO,3473159,285810,14892,2015,52976,2,3.5,TRUE,565524,64
Sarasota County,FL,3873671,279155,10240,2015,42884,1,5,TRUE,405549,55
Galveston County,TX,920722,66402,1539,2015,46059,,5,TRUE,322225,21
Marion County,IN,7759238,702972,23291,2015,52647,,5.1,TRUE,939020,51
Manatee County,FL,2749486,215259,11008,2015,39474,,5,TRUE,363369,76
Kenton County,KY,1229571,133765,5598,2015,49002,,4.5,TRUE,165012,73
Raleigh County,WV,1229890,85632,1396,2015,38702,,7.4,TRUE,77510,67
Fulton County,GA,6504224,501773,18403,2015,70623,,6,TRUE,1010562,117
Jefferson County,AL,9111863,728322,17176,2015,52292,,5.8,TRUE,660367,150
Maricopa County,AZ,22402246,1914935,99512,2015,50437,32,5.1,TRUE,4167947,357
San Bernardino County,CA,10923096,857763,26772,2015,43396,9,6.4,TRUE,2128133,44
Pueblo County,CO,1476719,145750,5702,2015,39840,1,5.7,TRUE,163591,16
Kane County,IL,2101937,119622,1733,2015,45757,1,5.7,TRUE,530847,17
Berkeley County,WV,526536,46928,2300,2015,39389,,4.9,TRUE,111901,54
Cabell County,WV,2032267,171942,5304,2015,40283,,5.5,TRUE,96844,96
Harrison County,WV,961040,73177,1633,2015,45573,,6.3,TRUE,68714,10
Jefferson County,WV,198707,13969,313,2015,40376,,4.1,TRUE,56482,22
Kanawha County,WV,2630250,232491,4865,2015,44755,,6,TRUE,188332,135
Los Angeles County,CA,67165128,3111853,78462,2015,58742,38,6.6,TRUE,10170292,373
Orange County,CA,19521112,995284,34190,2015,59708,20,4.4,TRUE,3169776,253
San Diego County,CA,15974904,1017536,38307,2015,58069,11,5.2,TRUE,3299521,257
Ventura County,CA,3774991,253059,8578,2015,53930,3,5.6,TRUE,850536,62
Brevard County,FL,4447918,399796,20760,2015,46199,1,5.9,TRUE,568088,55
Citrus County,FL,1364717,117472,6474,2015,35720,,7.4,TRUE,141058,17
Hernando County,FL,2282601,213597,14021,2015,33813,,6.9,TRUE,178439,23
Lake County,FL,3420216,236497,13860,2015,35539,,5.5,TRUE,325875,27
Marion County,FL,3510791,273104,13669,2015,35801,,6.4,TRUE,343254,31
Miami-Dade County,FL,32375973,828999,14273,2015,50548,1,5.9,TRUE,2693117,172
Orange County,FL,6976219,511367,19496,2015,46021,,5,TRUE,1288126,126
Pasco County,FL,4667856,384944,22195,2015,36463,,5.8,TRUE,497909,43
Pinellas County,FL,10016909,719898,32591,2015,46064,4,4.9,TRUE,949827,64
Gwinnett County,GA,3286409,235608,8720,2015,51298,,5.2,TRUE,895823,52
Cobb County,GA,3678410,321414,13504,2015,55417,,5.1,TRUE,741334,86
Honolulu County,HI,4672896,192967,6949,2015,48838,,,TRUE,998714,55
McHenry County,IL,1189381,63806,1011,2015,43075,,5.4,TRUE,307343,44
Peoria County,IL,1872133,140304,2738,2015,50618,1,6.8,TRUE,186221,17
Sedgwick County,KS,4357277,351819,11571,2015,46146,,4.8,TRUE,511574,28
Jefferson Parish,LA,5098164,415805,9266,2015,46763,,5.8,TRUE,436275,130
Wayne County,MI,13374890,1101073,24344,2015,58133,2,6.9,TRUE,1759335,361
Hennepin County,MN,7474961,554352,16953,2015,66104,,3.3,TRUE,1223149,97
Ramsey County,MN,3643103,244591,8627,2015,59710,,3.6,TRUE,538133,41
Jefferson County,MO,1263815,97994,3091,2015,34857,,4.8,TRUE,224124,76
St. Charles County,MO,1862725,128670,2935,2015,42675,,3.8,TRUE,385590,76
St. Louis County,MO,11468593,749416,20465,2015,55491,,4.6,TRUE,1003362,215
Kankakee County,IL,881999,58133,1176,2015,39945,,6.7,TRUE,110879,10
St. Louis city,MO,2837824,225533,6538,2015,,,6,TRUE,315685,144
Clark County,NV,10594811,945059,53650,2015,45013,15,6.9,TRUE,2114801,260
Onondaga County,NY,3725734,215364,7177,2015,48025,,4.9,TRUE,468463,74
Buncombe County,NC,3793384,284130,8563,2015,39713,,4.4,TRUE,253178,48
Caldwell County,NC,688152,45089,586,2015,34328,,6.3,TRUE,81287,29
Cumberland County,NC,1799365,165072,5904,2015,40086,,7.3,TRUE,323838,52
Gaston County,NC,2190924,166294,4126,2015,38468,,6,TRUE,213442,49
Mecklenburg County,NC,6811093,554665,21947,2015,62388,,5.4,TRUE,1034070,70
Rowan County,NC,1112345,88802,4446,2015,40882,,6.1,TRUE,139142,35
Wake County,NC,4911595,341700,15173,2015,52759,,4.7,TRUE,1024198,73
Lorain County,OH,1901792,137294,4499,2015,41398,,5.6,TRUE,305147,42
Marion County,OH,663548,40737,1674,2015,38454,,5.1,TRUE,65355,20
Stark County,OH,4092154,270045,6090,2015,39514,,5.3,TRUE,375165,73
Summit County,OH,4886077,393170,13065,2015,47057,1,5,TRUE,541968,135
Trumbull County,OH,1823185,123711,1841,2015,39969,,6.4,TRUE,203751,90
Hartford County,CT,6360690,342745,9511,2015,65251,2,5.9,TRUE,895841,165
Multnomah County,OR,5557271,491044,26174,2015,53451,7,4.9,TRUE,790294,95
Providence County,RI,6493538,322693,6966,2015,53261,1,6.4,TRUE,633473,113
Greenville County,SC,4965023,407466,11334,2015,45371,,5,TRUE,491863,107
Lake County,IL,3053971,176334,4974,2015,72500,,5.3,TRUE,703910,58
Knox County,TN,5738157,586472,40110,2015,45487,,4.6,TRUE,451324,111
Shelby County,TN,7082205,484077,13214,2015,52566,,6.4,TRUE,938069,166
Salt Lake County,UT,4434686,405092,20040,2015,50117,,3.4,TRUE,1107314,242
Henrico County,VA,1912507,128239,3203,2015,51541,,4.3,TRUE,325155,50
Richmond city,VA,1722146,113233,3274,2015,,,5.2,TRUE,220289,50
Pierce County,WA,4126525,346328,18590,2015,46852,2,6.5,TRUE,843954,95
Spokane County,WA,3591276,326401,15070,2015,44066,,6.6,TRUE,490945,77
Okaloosa County,FL,1073474,102861,3745,2015,42630,,4.5,TRUE,198664,25
Milwaukee County,WI,7892929,769431,41652,2015,50718,,5.8,TRUE,957735,219
Waukesha County,WI,2832137,169477,5786,2015,52212,,3.8,TRUE,396488,53
LaSalle County,IL,763763,38959,532,2015,42730,,6.9,TRUE,111333,14
Osceola County,FL,2245933,128629,5339,2015,35870,,5.7,TRUE,323993,30
Palm Beach County,FL,10799861,658379,26641,2015,51372,3,5.1,TRUE,1422789,109
Madison County,IL,2291791,157816,2568,2015,42318,,5.9,TRUE,266209,47
St. Clair County,IL,1937167,140212,3695,2015,40979,,6.5,TRUE,264052,14
Seminole County,FL,2583283,174291,6992,2015,43666,1,4.9,TRUE,449144,45
Sangamon County,IL,1804219,131725,2587,2015,52674,1,5.1,TRUE,198712,33
Volusia County,FL,4857788,375790,14872,2015,37196,,5.8,TRUE,517887,67
Will County,IL,2495351,158441,3948,2015,45565,2,6.2,TRUE,687263,74
Cherokee County,GA,873828,101033,7107,2015,38714,,4.7,TRUE,235900,32
Winnebago County,IL,2441206,204088,7252,2015,43769,1,6.9,TRUE,287078,51
Litchfield County,CT,1036420,56167,1142,2015,44713,,5.1,TRUE,183603,44
DuPage County,IL,5175585,317133,7386,2015,60902,1,4.7,TRUE,933736,66
DeKalb County,GA,3258954,204505,4306,2015,53022,,6,TRUE,734871,40
Boone County,KY,812549,60577,2248,2015,44817,,4.1,TRUE,127712,24
Delaware County,IN,1277821,112124,3552,2015,37416,,5.7,TRUE,116852,10
Campbell County,KY,564703,34697,683,2015,40155,,4.2,TRUE,92066,25
Howard County,IN,1038620,69671,1224,2015,46812,,5,TRUE,82556,21
Lake County,IN,3626681,254703,4553,2015,45146,,6.8,TRUE,487865,23
Fayette County,KY,2996759,330326,18437,2015,46302,,3.9,TRUE,314488,72
Anchorage Borough,AK,,,,2015,57101,,,TRUE,298695,40
Pima County,AZ,6779426,541215,30559,2015,43620,3,5.4,TRUE,1010025,125
Alameda County,CA,7527527,542631,26209,2015,68791,11,4.7,TRUE,1638215,44
Contra Costa County,CA,4970290,385753,18941,2015,63792,4,5,TRUE,1126745,40
Kern County,CA,4774392,342456,10461,2015,44142,3,10.2,TRUE,882176,58
Riverside County,CA,12054835,868895,29283,2015,43051,14,6.7,TRUE,2361026,112
Sacramento County,CA,9124669,760339,32945,2015,57067,5,6,TRUE,1501335,28
San Francisco County,CA,5058002,271625,14410,2015,97067,8,,TRUE,864816,62
Santa Barbara County,CA,2658047,186421,6488,2015,50269,3,5.3,TRUE,444769,32
Santa Clara County,CA,7978840,424048,12902,2015,113390,5,4.2,TRUE,1918044,52
Santa Cruz County,CA,1444164,108497,5029,2015,46189,1,7.5,TRUE,274146,12
Sonoma County,CA,2745695,240495,13972,2015,49398,2,4.5,TRUE,502146,27
Adams County,CO,1793732,165947,8967,2015,50106,,4.4,TRUE,491337,46
Arapahoe County,CO,3485512,324947,16428,2015,61063,1,3.7,TRUE,631096,63
Jefferson County,KY,7816682,640882,16623,2015,51388,,4.8,TRUE,763623,93
Madison County,KY,685604,46804,896,2015,37081,,4.4,TRUE,87824,29
East Baton Rouge Parish,LA,4975181,416293,15176,2015,49155,,5.4,TRUE,446753,16
Orleans Parish,LA,2278108,193427,4312,2015,50155,,6.5,TRUE,389617,12
St. Tammany Parish,LA,2686638,220928,8575,2015,44533,,5.4,TRUE,250088,47
Cumberland County,ME,2358414,176134,6255,2015,47508,3,3.3,TRUE,289977,39
Anne Arundel County,MD,1888614,152469,7418,2015,55711,2,4.4,TRUE,564195,89
Baltimore County,MD,5050413,412618,24119,2015,52344,1,5.3,TRUE,831128,149
Carroll County,MD,825918,55012,2646,2015,41309,,4.2,TRUE,167627,26
Cecil County,MD,393813,21866,718,2015,45001,,6,TRUE,102382,10
Charles County,MD,371282,38176,2292,2015,43046,1,5,TRUE,156118,20
Frederick County,MD,1015251,94326,7797,2015,49206,,4.5,TRUE,245322,27
Harford County,MD,887411,76157,5108,2015,50125,,4.9,TRUE,250290,33
Howard County,MD,781601,55675,2308,2015,63992,2,3.8,TRUE,313414,27
Montgomery County,MD,3225243,193767,7259,2015,70229,7,3.9,TRUE,1040116,53
Prince George's County,MD,,,,2015,54646,,5.3,TRUE,909535,38
Washington County,MD,1222987,113862,8317,2015,40236,,5.6,TRUE,149585,41
Baltimore city,MD,3889540,310364,9814,2015,,2,7.5,TRUE,621849,198
Barnstable County,MA,1723458,92796,3121,2015,44220,2,6.2,TRUE,214333,14
Berkshire County,MA,1240484,74925,2746,2015,43500,2,5.4,TRUE,127828,15
Bristol County,MA,5264206,280831,11795,2015,48130,3,6.1,TRUE,556772,38
Essex County,MA,4986073,254667,11316,2015,55057,3,5,TRUE,776043,110
Franklin County,MA,458646,28036,1690,2015,39991,,4.4,TRUE,70601,10
Hampden County,MA,3857745,257312,10371,2015,47761,2,6.6,TRUE,470690,75
Allen County,OH,1371378,83855,725,2015,41169,,4.8,TRUE,104425,20
Middlesex County,MA,7510360,376368,11564,2015,79228,5,3.9,TRUE,1585139,171
Norfolk County,MA,4137623,214199,7026,2015,61918,4,4.3,TRUE,696023,83
Plymouth County,MA,3112694,169480,4188,2015,49071,2,5.1,TRUE,510393,84
Suffolk County,MA,6662401,405356,15910,2015,89924,1,4.5,TRUE,778121,104
Worcester County,MA,6379403,360790,13099,2015,51929,2,5.2,TRUE,818963,122
Calhoun County,MI,1152026,101248,2569,2015,48307,,5.1,TRUE,134314,35
Eaton County,MI,504518,38616,1229,2015,44793,,4.4,TRUE,108801,20
Genesee County,MI,4198577,387566,9619,2015,43622,,6.1,TRUE,410849,33
Ingham County,MI,2434220,227491,7232,2015,49046,,4.7,TRUE,286085,46
Kent County,MI,5205492,465138,23391,2015,46358,2,3.7,TRUE,636369,56
Macomb County,MI,6217706,531210,16860,2015,52049,4,5.8,TRUE,864840,142
Monroe County,MI,826056,72953,2633,2015,46352,,4.5,TRUE,149568,30
Muskegon County,MI,1799475,178465,8570,2015,40383,,5.8,TRUE,172790,27
Oakland County,MI,12461612,1024759,34588,2015,58447,2,4.8,TRUE,1242304,22
St. Clair County,MI,1263636,110698,3534,2015,41911,,6.8,TRUE,159875,10
Washtenaw County,MI,2897809,264156,9320,2015,54985,,3.7,TRUE,358880,41
St. Louis County,MN,2045618,145665,4926,2015,43039,,5,TRUE,200431,12
DeSoto County,MS,985729,73389,2202,2015,33270,,4.8,TRUE,173323,23
Franklin County,MO,1158407,72848,1697,2015,37650,,5.1,TRUE,102426,11
Greene County,MO,4337578,355460,14574,2015,39764,,4.1,TRUE,288072,37
Jackson County,MO,5363990,393090,10425,2015,52781,,5.9,TRUE,687623,46
Washoe County,NV,2532441,267004,12873,2015,46078,2,6.3,TRUE,446903,53
Hillsborough County,NH,2292593,157853,5371,2015,57175,,3.5,TRUE,406678,54
Rockingham County,NH,1170804,80284,3583,2015,51972,,3.6,TRUE,301777,29
Atlantic County,NJ,1873877,163401,5134,2015,43711,,9.6,TRUE,274219,44
Bergen County,NJ,5574281,247891,6624,2015,63162,,4.7,TRUE,938506,78
Cape May County,NJ,804002,45788,1216,2015,36123,,11.1,TRUE,94727,14
Essex County,NJ,4608518,221251,4977,2015,64781,,6.9,TRUE,797434,79
Hudson County,NJ,4166761,154201,3945,2015,71682,,5.4,TRUE,674836,51
Mercer County,NJ,2492538,150080,3367,2015,68841,,5,TRUE,371398,43
Middlesex County,NJ,4432610,196742,5013,2015,63556,,5.2,TRUE,840900,68
Monmouth County,NJ,4300881,251176,7392,2015,51671,,5.2,TRUE,628715,82
Morris County,NJ,2534012,140828,4325,2015,79853,,4.4,TRUE,499509,46
Ocean County,NJ,3805137,219363,6283,2015,42098,,6.2,TRUE,588721,41
Passaic County,NJ,3436204,152707,4030,2015,52158,,7.1,TRUE,510916,30
Somerset County,NJ,1344290,78024,2305,2015,85163,,4.6,TRUE,333654,11
Sussex County,NJ,588841,30251,918,2015,43558,,5.5,TRUE,143673,13
Union County,NJ,2967930,115539,1295,2015,67345,,6.1,TRUE,555786,49
Bernalillo County,NM,3706689,335595,13262,2015,44449,,5.9,TRUE,676685,128
Rio Arriba County,NM,72473,7981,216,2015,31903,,8,TRUE,39465,14
