,NPPES Provider ZIP Code,NPPES Provider State,total_claims,opioid_claims,extended_release_opioid_claims,zipcode,county
7996,98168,WA,52393,4275,164,98168,['King County']
7997,57430,SD,41857,1991,18,57430,['Marshall County']
7998,92646,CA,152443,7844,141,92646,['Orange County']
7999,74129,OK,32125,2977,88,74129,['Tulsa County']
8000,48843,MI,166093,13004,310,48843,['Livingston County']
8001,77028,TX,54389,2434,0,77028,['Harris County']
8002,65038,MO,42268,3270,136,65038,[None]
8003,75228,TX,36685,2548,0,75228,['Dallas County']
8004,85250,AZ,40775,2272,199,85250,['Maricopa County']
8005,57533,SD,53825,2236,50,57533,['Gregory County']
8006,73132,OK,30890,4653,321,73132,['Oklahoma County']
8007,96003,CA,50859,2787,20,96003,['Shasta County']
8008,43056,OH,12319,857,0,43056,['Licking County']
8009,51054,IA,40868,1690,13,51054,['Woodbury County']
8010,50320,IA,58446,3964,120,50320,['Polk County']
8011,43907,OH,52265,2912,0,43907,['Harrison County']
8012,4357,ME,22253,1221,0,04357,['Sagadahoc County']
8013,59749,MT,17711,1408,204,59749,['Madison County']
8014,3885,NH,27415,1936,83,03885,['Rockingham County']
8015,96786,HI,106196,2353,35,96786,['Honolulu County']
8016,72837,AR,46946,2474,109,72837,['Pope County']
8017,71635,AR,124148,4999,83,71635,['Ashley County']
8018,83440,ID,129267,8674,355,83440,['Madison County']
8019,84037,UT,18519,680,21,84037,['Davis County']
8020,25271,WV,171854,9730,261,25271,['Jackson County']
8021,70458,LA,507370,43776,1090,70458,['St. Tammany Parish']
8022,64429,MO,115402,6889,145,64429,['Clinton County']
8023,44303,OH,12683,335,0,44303,['Summit County']
8024,84660,UT,84487,6378,177,84660,['Utah County']
8025,72936,AR,111087,6920,21,72936,['Sebastian County']
8026,31062,GA,143,12,0,31062,[None]
8027,10577,NY,66389,3144,141,10577,['Westchester County']
8028,96103,CA,90,11,0,96103,['Plumas County']
8029,52544,IA,160222,8697,363,52544,['Appanoose County']
8030,8542,NJ,1716,63,0,08542,['Mercer County']
8031,31082,GA,282062,9982,94,31082,['Washington County']
8032,95252,CA,40248,3606,165,95252,['Calaveras County']
8033,53565,WI,72457,4836,213,53565,['Iowa County']
8034,78238,TX,208872,12008,136,78238,['Bexar County']
8035,75791,TX,94199,19239,964,75791,['Smith County']
8036,46544,IN,286858,16374,251,46544,['St. Joseph County']
8037,13685,NY,278,43,0,13685,['Jefferson County']
8038,58730,ND,11494,429,0,58730,['Divide County']
8039,65706,MO,135683,11000,288,65706,['Webster County']
8040,69138,NE,60055,3164,27,69138,['Dawson County']
8041,30043,GA,139061,12717,667,30043,['Gwinnett County']
8042,85256,AZ,7438,1707,113,85256,['Maricopa County']
8043,45241,OH,184294,10143,102,45241,['Hamilton County']
8044,94965,CA,59021,9381,999,94965,['Marin County']
8045,53406,WI,122210,9039,158,53406,['Racine County']
8046,98431,WA,37116,4180,12,98431,[None]
8047,4263,ME,50867,2691,50,04263,['Androscoggin County']
8048,54848,WI,78529,5022,58,54848,['Rusk County']
8049,31774,GA,124553,6284,0,31774,['Irwin County']
8050,49251,MI,24601,2381,197,49251,['Ingham County']
8051,55411,MN,77278,4731,135,55411,['Hennepin County']
8052,28906,NC,139436,9795,173,28906,['Cherokee County']
8053,74020,OK,23260,1037,0,74020,['Pawnee County']
8054,78412,TX,315665,28701,1535,78412,['Nueces County']
8055,54241,WI,162981,6452,92,54241,['Manitowoc County']
8056,8401,NJ,152688,8171,121,08401,['Atlantic County']
8057,64503,MO,1526,124,0,64503,['Buchanan County']
8058,14810,NY,169792,7043,175,14810,['Steuben County']
8059,89110,NV,267851,19324,532,89110,['Clark County']
8060,53551,WI,45779,2441,52,53551,['Jefferson County']
8061,70030,TX,2320,1367,64,70030,['St. Charles Parish']
8062,44485,OH,111356,7970,140,44485,['Trumbull County']
8063,97444,OR,59473,5812,445,97444,['Curry County']
8064,54937,WI,86788,3181,78,54937,['Fond du Lac County']
8065,28712,NC,283296,17383,311,28712,['Transylvania County']
8066,45693,OH,80417,4504,89,45693,['Adams County']
8067,25402,WV,361,80,0,25402,[None]
8068,40403,KY,211438,13893,321,40403,['Madison County']
8069,67045,KS,56036,4171,132,67045,['Greenwood County']
